Batch 0 (121800, 10) (52200, 10)
Batch 0 mse= 0.00013005348576840644 mae= 0.008050005050488154
Batch 1 (132300, 10) (56700, 10)
Batch 1 mse= 0.00010116697645935169 mae= 0.007066912559689355
Batch 2 (226800, 10) (97200, 10)
Batch 2 mse= 0.0001745977608064515 mae= 0.009561364800727131
Batch 3 (224700, 10) (96300, 10)
Batch 3 mse= 0.0001658539758093109 mae= 0.009225773757858477
Batch 4 (226800, 10) (97200, 10)
Batch 4 mse= 0.00018704990398417002 mae= 0.010002275941090696
Batch 5 (159600, 10) (68400, 10)
Batch 5 mse= 0.00014851959521048743 mae= 0.008444265290836334
Batch 6 (79800, 10) (34200, 10)
Batch 6 mse= 0.00010067933242404985 mae= 0.007279767039936635
Batch 7 (159600, 10) (68400, 10)
Batch 7 mse= 0.0001738627584977467 mae= 0.010118636691715257
Batch 8 (159600, 10) (68400, 10)
Batch 8 mse= 0.0001963253097113337 mae= 0.011079636491303106
Batch 9 (159600, 10) (68400, 10)
Batch 9 mse= 0.00018445057757123212 mae= 0.01049381164880081
Batch 10 (84000, 10) (36000, 10)
Batch 10 mse= 0.0001222719476016587 mae= 0.007598804643948482
Batch 11 (142800, 10) (61200, 10)
Batch 11 mse= 0.00010334016348896778 mae= 0.00712728969111989
Batch 12 (142800, 10) (61200, 10)
Batch 12 mse= 0.00010621823095883885 mae= 0.0073139404864998375
Batch 13 (142800, 10) (61200, 10)
Batch 13 mse= 0.00010434816103713383 mae= 0.007282075799110784
Batch 14 (142800, 10) (61200, 10)
Batch 14 mse= 8.648648799963185e-05 mae= 0.006635586207312311
Batch 15 (264600, 10) (113400, 10)
Batch 15 mse= 0.00014918924620955834 mae= 0.009044606374555125
Batch 16 (268800, 10) (115200, 10)
Batch 16 mse= 0.00017030605842297683 mae= 0.009134304626382875
Batch 17 (163800, 10) (70200, 10)
Batch 17 mse= 0.0001370980959633975 mae= 0.008189320213554485
Batch 18 (266700, 10) (114300, 10)
Batch 18 mse= 0.00015805729778287965 mae= 0.009422222772948914
Batch 19 (159600, 10) (68400, 10)
Batch 19 mse= 0.00012501947001642918 mae= 0.007971000134620753
Batch 20 (163800, 10) (70200, 10)
Batch 20 mse= 0.00015325396922469034 mae= 0.009212322412246524
Batch 21 (117600, 10) (50400, 10)
Batch 21 mse= 6.187255675003397e-05 mae= 0.0057450537503472045
Batch 22 (178500, 10) (76500, 10)
Batch 22 mse= 0.00010051100424321289 mae= 0.007385355536508879
Batch 23 (178500, 10) (76500, 10)
Batch 23 mse= 9.600688565280052e-05 mae= 0.0070351711992077855
Batch 24 (178500, 10) (76500, 10)
Batch 24 mse= 0.00010797912654554911 mae= 0.0073223659706693435
Batch 25 (84000, 10) (36000, 10)
Batch 25 mse= 0.00010111173834572858 mae= 0.006869472939392963
Batch 26 (189000, 10) (81000, 10)
Batch 26 mse= 5.9546582282412095e-05 mae= 0.005340612872089473
Batch 27 (189000, 10) (81000, 10)
Batch 27 mse= 6.0927070147321445e-05 mae= 0.005447901428345046
Batch 28 (189000, 10) (81000, 10)
Batch 28 mse= 6.468047801420645e-05 mae= 0.0058151892461048215
Batch 29 (132300, 10) (56700, 10)
Batch 29 mse= 5.480225807811401e-05 mae= 0.005302539214329059
Batch 30 (369600, 10) (158400, 10)
Batch 30 mse= 0.00010257554910590612 mae= 0.007119225494439615
Batch 31 (369600, 10) (158400, 10)
Batch 31 mse= 0.00011569130202547771 mae= 0.0075810413208034
Batch 32 (170100, 10) (72900, 10)
Batch 32 mse= 8.898010771804605e-05 mae= 0.006772369682112154
Batch 33 (369600, 10) (158400, 10)
Batch 33 mse= 0.00010891938569415248 mae= 0.007264697203036696
Batch 34 (170100, 10) (72900, 10)
Batch 34 mse= 9.033145523386987e-05 mae= 0.006647619246042154
Batch 35 (170100, 10) (72900, 10)
Batch 35 mse= 0.00010289707001411895 mae= 0.007168628083988155
Batch 36 (117600, 10) (50400, 10)
Batch 36 mse= 7.084600536818171e-05 mae= 0.005975734362060277
Batch 37 (117600, 10) (50400, 10)
Batch 37 mse= 7.075580368195913e-05 mae= 0.006087521713872266
Batch 38 (117600, 10) (50400, 10)
Batch 38 mse= 7.153730938839151e-05 mae= 0.006088005721931096
Batch 39 (79800, 10) (34200, 10)
Batch 39 mse= 6.550681631828149e-05 mae= 0.00588156749560756
Batch 40 (233100, 10) (99900, 10)
Batch 40 mse= 0.000130490038225409 mae= 0.008580328672322893
Batch 41 (235200, 10) (100800, 10)
Batch 41 mse= 0.00012926184723118103 mae= 0.008265397298775746
Batch 42 (84000, 10) (36000, 10)
Batch 42 mse= 0.00010607479448603794 mae= 0.007241818475172637
Batch 43 (235200, 10) (100800, 10)
Batch 43 mse= 0.0001360453468295566 mae= 0.009289811530614327
Batch 44 (84000, 10) (36000, 10)
Batch 44 mse= 9.982069591361202e-05 mae= 0.006900393144492062
Batch 45 (44100, 10) (18900, 10)
Batch 45 mse= 0.00011984810971454533 mae= 0.00782320396853424
Batch 46 (226800, 10) (97200, 10)
Batch 46 mse= 6.18154745211494e-05 mae= 0.005477355060698757
Batch 47 (226800, 10) (97200, 10)
Batch 47 mse= 6.286294403259985e-05 mae= 0.005592599613036112
Batch 48 (151200, 10) (64800, 10)
Batch 48 mse= 5.756918222905283e-05 mae= 0.005403606182334527
Batch 49 (191100, 10) (81900, 10)
Batch 49 mse= 5.6572668434774924e-05 mae= 0.005371924824326786
Batch 50 (134400, 10) (57600, 10)
