Fly_Drone1,,,,,,,,,,,,,,,
Time      ,.C.CM_Position.X,.C.CM_Position.Y,.C.CM_Position.Z,.R1.CM_Position.X,.R1.CM_Position.Y,.R1.CM_Position.Z,.R2.CM_Position.X,.R2.CM_Position.Y,.R2.CM_Position.Z,.R3.CM_Position.X,.R3.CM_Position.Y,.R3.CM_Position.Z,.R4.CM_Position.X,.R4.CM_Position.Y,.R4.CM_Position.Z
0.000000e+000,-1.080941e+001,-6.700333e+001,5.013929e+001,-1.014507e+002,-4.880705e+000,1.066031e+002,1.005454e+002,-4.902830e+000,1.067256e+002,-1.016157e+002,1.851388e+002,1.068280e+002,1.015403e+002,1.857294e+002,1.068825e+002
5.000000e-002,-1.080943e+001,-6.700322e+001,4.854866e+001,-1.014507e+002,-4.880756e+000,1.066256e+002,1.005454e+002,-4.902880e+000,1.067481e+002,-1.016157e+002,1.851388e+002,1.068511e+002,1.015403e+002,1.857294e+002,1.069055e+002
1.000000e-001,-1.080921e+001,-6.700421e+001,4.723673e+001,-1.014502e+002,-4.882831e+000,1.067795e+002,1.005459e+002,-4.904958e+000,1.069011e+002,-1.016152e+002,1.851367e+002,1.070082e+002,1.015408e+002,1.857273e+002,1.070618e+002
1.500000e-001,-1.080844e+001,-6.700589e+001,4.638232e+001,-1.014483e+002,-4.886773e+000,1.071841e+002,1.005478e+002,-4.908904e+000,1.073021e+002,-1.016133e+002,1.851328e+002,1.074199e+002,1.015427e+002,1.857234e+002,1.074699e+002
2.000000e-001,-1.080657e+001,-6.700761e+001,4.610689e+001,-1.014438e+002,-4.890535e+000,1.079465e+002,1.005523e+002,-4.912669e+000,1.080559e+002,-1.016087e+002,1.851290e+002,1.081890e+002,1.015472e+002,1.857196e+002,1.082304e+002
2.500000e-001,-1.080321e+001,-6.700705e+001,4.646575e+001,-1.014357e+002,-4.888377e+000,1.091609e+002,1.005604e+002,-4.910508e+000,1.092550e+002,-1.016006e+002,1.851312e+002,1.093996e+002,1.015554e+002,1.857218e+002,1.094255e+002
3.000000e-001,-1.079820e+001,-6.700091e+001,4.751303e+001,-1.014237e+002,-4.872244e+000,1.109092e+002,1.005724e+002,-4.894362e+000,1.109805e+002,-1.015886e+002,1.851473e+002,1.111191e+002,1.015674e+002,1.857379e+002,1.111220e+002
3.500000e-001,-1.079182e+001,-6.698611e+001,4.929753e+001,-1.014085e+002,-4.834824e+000,1.132605e+002,1.005876e+002,-4.856930e+000,1.133031e+002,-1.015734e+002,1.851848e+002,1.134037e+002,1.015826e+002,1.857754e+002,1.133776e+002
4.000000e-001,-1.078484e+001,-6.696136e+001,5.185791e+001,-1.013923e+002,-4.773704e+000,1.162714e+002,1.006039e+002,-4.795816e+000,1.162832e+002,-1.015571e+002,1.852460e+002,1.163058e+002,1.015989e+002,1.858365e+002,1.162484e+002
4.500000e-001,-1.077854e+001,-6.692873e+001,5.521835e+001,-1.013781e+002,-4.695121e+000,1.199864e+002,1.006180e+002,-4.717271e+000,1.199715e+002,-1.015429e+002,1.853245e+002,1.198809e+002,1.016130e+002,1.859150e+002,1.197961e+002
5.000000e-001,-1.077464e+001,-6.689453e+001,5.939038e+001,-1.013704e+002,-4.615638e+000,1.244381e+002,1.006257e+002,-4.637836e+000,1.244087e+002,-1.015352e+002,1.854039e+002,1.241911e+002,1.016208e+002,1.859942e+002,1.240912e+002
5.500000e-001,-1.077510e+001,-6.686870e+001,6.437434e+001,-1.013740e+002,-4.560468e+000,1.296489e+002,1.006222e+002,-4.582661e+000,1.296262e+002,-1.015387e+002,1.854589e+002,1.293036e+002,1.016172e+002,1.860492e+002,1.292102e+002
6.000000e-001,-1.078189e+001,-6.686290e+001,7.016101e+001,-1.013935e+002,-4.558172e+000,1.356318e+002,1.006027e+002,-4.580254e+000,1.356460e+002,-1.015583e+002,1.854612e+002,1.352823e+002,1.015977e+002,1.860516e+002,1.352259e+002
6.500000e-001,-1.079673e+001,-6.688746e+001,7.673635e+001,-1.014328e+002,-4.632724e+000,1.423918e+002,1.005633e+002,-4.654642e+000,1.424804e+002,-1.015977e+002,1.853868e+002,1.421748e+002,1.015583e+002,1.859775e+002,1.421938e+002
7.000000e-001,-1.082072e+001,-6.694793e+001,8.408726e+001,-1.014941e+002,-4.795031e+000,1.499276e+002,1.005019e+002,-4.816990e+000,1.501324e+002,-1.016591e+002,1.852246e+002,1.499997e+002,1.014968e+002,1.858153e+002,1.501365e+002
7.500000e-001,-1.085410e+001,-6.704253e+001,9.220573e+001,-1.015774e+002,-5.036583e+000,1.582330e+002,1.004185e+002,-5.059238e+000,1.585956e+002,-1.017425e+002,1.849824e+002,1.587359e+002,1.014132e+002,1.855726e+002,1.590327e+002
8.000000e-001,-1.089596e+001,-6.716026e+001,1.010920e+002,-1.016796e+002,-5.327589e+000,1.672977e+002,1.003158e+002,-5.352052e+000,1.678542e+002,-1.018450e+002,1.846893e+002,1.683206e+002,1.013104e+002,1.852779e+002,1.688141e+002
